lNames	lVal
PIT14	PIT	5.9210793050536
PIT15	PIT	0.0767869523747475
PIT16	PIT	0.0477191280286049
PIT17	PIT	2.51872407571233e-12
PIT18	PIT	5.37359765107937e-06
PIT19	PIT	4.19565552002844e-09
PIT20	PIT	0.938806125295
SDN1	SDN	18914.5682805605
SDN2	SDN	0.220485239927624
SDN3	SDN	34.6223997048932
SDN4	SDN	48.7988773658156
SDN5	SDN	-115.734649697617
SDN6	SDN	2504.76214584936
SDN7	SDN	0.0280770744150481
SDN8	SDN	11.4662299752922
SDN9	SDN	31.322826335122
SDN10	SDN	22.8363971153734
SDN11	SDN	7.55144288327092
SDN12	SDN	7.8528566284475
SDN13	SDN	3.01951031677356
SDN14	SDN	1.55793340114707
SDN15	SDN	-5.06799076548308
SDN16	SDN	8.79949837790082e-14
SDN17	SDN	9.34396401838948e-15
SDN18	SDN	0.0025882145066947
SDN19	SDN	0.119526832549747
SDN20	SDN	4.68803289265988e-07
SEA1	SEA	24046.7333257408
SEA2	SEA	0.230618411858897
SEA3	SEA	45.2472171583664
SEA4	SEA	87.2714166248495
SEA5	SEA	-1076.84690387755
SEA6	SEA	2253.63787016878
SEA7	SEA	0.0291198134954754
SEA8	SEA	8.95877611578037
SEA9	SEA	18.393475042864
SEA10	SEA	83.93501086411
SEA11	SEA	10.6701851455575
SEA12	SEA	7.91963904215012
SEA13	SEA	5.05060251239742
