Game_Date	Day_of_Week	Home_Team	Day_or_Night	Home_Game_Number	Attendance	Prior_Attendance	Prior_Wins
2013-04-16	Tue	NYA	N	7	34107	40327	84
2013-04-16	Tue	OAK	N	9	11038	25258	88
2013-04-16	Tue	SEA	N	8	12401	22472	87
2013-04-16	Tue	TOR	N	8	16131	15828	83
2013-04-16	Tue	BAL	N	4	14670	25478	96
2013-04-16	Tue	CLE	N	6	9143	9137	85
2013-04-16	Tue	MIN	N	7	23299	32351	70
2013-04-16	Tue	ATL	N	7	26400	36215	79
2013-04-16	Tue	CHN	N	7	29344	36311	73
2013-04-16	Tue	CIN	N	8	15544	17115	76
2013-04-16	Tue	COL	D	4	21510	30642	66
2013-04-16	Tue	COL	D	5	21510	29856	66
2013-04-16	Tue	COL	N	4	20239	30642	66
2013-04-16	Tue	COL	N	5	20239	29856	66
2013-04-16	Tue	LAN	N	8	35898	44014	94
2013-04-16	Tue	MIA	N	8	16200	31949	77
2013-04-16	Tue	MIL	N	7	29075	39188	82
2013-04-17	Wed	BAL	N	5	13591	24659	96
2013-04-17	Wed	CLE	N	7	10282	10552	85
2013-04-17	Wed	ATL	D	8	23018	34086	79
2013-04-17	Wed	CIN	N	9	16467	17317	76
2013-04-17	Wed	LAN	N	9	52393	26345	94
2013-04-17	Wed	MIA	N	9	22302	33525	77
2013-04-17	Wed	MIL	N	8	29362	43565	82
2013-04-17	Wed	NYA	N	8	34369	41200	84
2013-04-17	Wed	OAK	D	10	15488	24049	88
2013-04-17	Wed	SEA	N	9	14983	19975	87
2013-04-17	Wed	TOR	N	9	15684	18976	83
2013-04-17	Wed	PIT	N	8	9570	0	88
2013-04-17	Wed	PIT	N	8	9570	15218	88
2013-04-18	Thu	NYA	N	9	36033	44686	84
2013-04-18	Thu	SEA	D	10	15772	22492	87
2013-04-18	Thu	TOR	N	10	18015	24303	83
2013-04-18	Thu	PHI	N	7	34256	45261	73
2013-04-18	Thu	PIT	N	9	11288	0	88
2013-04-18	Thu	PIT	N	9	11288	15218	88
2013-04-18	Thu	BAL	N	6	13986	22919	96
2013-04-18	Thu	CLE	N	8	12936	9229	85
2013-04-18	Thu	CHN	D	8	26083	37782	73
